time,plate_name,well_position,temperature_c,value,row_label,column_label,wavelength
,4x diluted 100 uL,C6,22.6,0.562,C,6,600
,4x diluted 100 uL,C7,22.6,0.6445,C,7,600
,4x diluted 100 uL,C8,22.6,0.5856,C,8,600
,4x diluted 100 uL,D1,22.6,0.6014,D,1,600
,4x diluted 100 uL,D2,22.6,0.5422,D,2,600
,4x diluted 100 uL,D3,22.6,0.6179,D,3,600
,4x diluted 100 uL,D4,22.6,0.4538,D,4,600
,4x diluted 100 uL,D5,22.6,0.3864,D,5,600
,4x diluted 100 uL,D6,22.6,0.4734,D,6,600
,4x diluted 100 uL,D7,22.6,0.0374,D,7,600
,4x diluted 100 uL,D8,22.6,0.0354,D,8,600
,p1: Em480,B1,22.6,17891096.0,B,1,300
,p1: Em480,B2,22.6,49218968.0,B,2,300
,p1: Em480,B3,22.6,2444240.0,B,3,300
,p1: Em480,B4,22.6,4056829.0,B,4,300
,p1: Em480,B5,22.6,775922.0,B,5,300
,p1: Em480,C1,22.6,3480106.0,C,1,300
,p1: Em480,C2,22.6,3639376.0,C,2,300
,p1: Em480,C3,22.6,3498191.0,C,3,300
,p1: Em480,B1,22.6,20247740.0,B,1,310
,p1: Em480,B2,22.6,73916248.0,B,2,310
,p1: Em480,B3,22.6,3225556.0,B,3,310
,p1: Em480,B4,22.6,5788176.0,B,4,310
,p1: Em480,B5,22.6,409017.0,B,5,310
,p1: Em480,C1,22.6,4233982.0,C,1,310
,p1: Em480,C2,22.6,4406610.0,C,2,310
,p1: Em480,C3,22.6,4172056.0,C,3,310
,p1: Em480,B1,22.6,21074580.0,B,1,320
,p1: Em480,B2,22.6,91701784.0,B,2,320
,p1: Em480,B3,22.6,4227110.0,B,3,320
,p1: Em480,B4,22.6,8358348.0,B,4,320
,p1: Em480,B5,22.6,154552.0,B,5,320
,p1: Em480,C1,22.6,5038124.0,C,1,320
,p1: Em480,C2,22.6,5254656.0,C,2,320
,p1: Em480,C3,22.6,4984606.0,C,3,320
,p1: Em480,B1,22.6,22835860.0,B,1,330
,p1: Em480,B2,22.6,108899640.0,B,2,330
,p1: Em480,B3,22.6,5221392.0,B,3,330
,p1: Em480,B4,22.6,11131174.0,B,4,330
,p1: Em480,B5,22.6,57917.0,B,5,330
,p1: Em480,C1,22.6,5980078.0,C,1,330
,p1: Em480,C2,22.6,6295886.0,C,2,330
,p1: Em480,C3,22.6,5973038.0,C,3,330
,p1: Em480,B1,22.6,30315496.0,B,1,340
,p1: Em480,B2,22.6,138828240.0,B,2,340
,p1: Em480,B3,22.6,5929008.0,B,3,340
,p1: Em480,B4,22.6,13045943.0,B,4,340
,p1: Em480,B5,22.6,34999.0,B,5,340
,p1: Em480,C1,22.6,6638048.0,C,1,340
,p1: Em480,C2,22.6,7021682.0,C,2,340
,p1: Em480,C3,22.6,6601356.0,C,3,340
,p1: Em480,B1,22.6,47828512.0,B,1,350
,p1: Em480,B2,22.6,172854000.0,B,2,350
,p1: Em480,B3,22.6,6117942.0,B,3,350
,p1: Em480,B4,22.6,13466499.0,B,4,350
,p1: Em480,B5,22.6,36818.0,B,5,350
,p1: Em480,C1,22.6,6614156.0,C,1,350
,p1: Em480,C2,22.6,7049832.0,C,2,350
,p1: Em480,C3,22.6,6541865.0,C,3,350
,p1: Em480,B1,22.6,71741776.0,B,1,360
,p1: Em480,B2,22.6,209285632.0,B,2,360
,p1: Em480,B3,22.6,6342518.0,B,3,360
,p1: Em480,B4,22.6,13644397.0,B,4,360
,p1: Em480,B5,22.6,31428.0,B,5,360
,p1: Em480,C1,22.6,6809109.0,C,1,360
,p1: Em480,C2,22.6,7339860.0,C,2,360
,p1: Em480,C3,22.6,6750462.0,C,3,360
,p1: Em480,B1,22.6,94106384.0,B,1,370
,p1: Em480,B2,22.6,253315872.0,B,2,370
,p1: Em480,B3,22.6,6202966.0,B,3,370
,p1: Em480,B4,22.6,12425379.0,B,4,370
,p1: Em480,B5,22.6,29258.0,B,5,370
,p1: Em480,C1,22.6,6638974.0,C,1,370
,p1: Em480,C2,22.6,7185869.0,C,2,370
,p1: Em480,C3,22.6,6556354.0,C,3,370
,p1: Em480,B1,22.6,105473232.0,B,1,380
,p1: Em480,B2,22.6,262928240.0,B,2,380
,p1: Em480,B3,22.6,5334247.0,B,3,380
,p1: Em480,B4,22.6,9179253.0,B,4,380
,p1: Em480,B5,22.6,29008.0,B,5,380
,p1: Em480,C1,22.6,5623238.0,C,1,380
,p1: Em480,C2,22.6,6176928.0,C,2,380
,p1: Em480,C3,22.6,5547160.0,C,3,380
,p1: Em480,B1,22.6,115548240.0,B,1,390
,p1: Em480,B2,22.6,266537792.0,B,2,390
,p1: Em480,B3,22.6,4905756.0,B,3,390
,p1: Em480,B4,22.6,6892470.0,B,4,390
,p1: Em480,B5,22.6,21946.0,B,5,390
,p1: Em480,C1,22.6,4978223.0,C,1,390
,p1: Em480,C2,22.6,5510555.0,C,2,390
,p1: Em480,C3,22.6,4920152.0,C,3,390
,p1: Em480,B1,22.6,117044008.0,B,1,400
,p1: Em480,B2,22.6,249696480.0,B,2,400
,p1: Em480,B3,22.6,4558630.0,B,3,400
,p1: Em480,B4,22.6,5366872.0,B,4,400
,p1: Em480,B5,22.6,23088.0,B,5,400
,p1: Em480,C1,22.6,4420049.0,C,1,400
,p1: Em480,C2,22.6,4886236.0,C,2,400
,p1: Em480,C3,22.6,4346922.0,C,3,400
,p1: Em480,B1,22.6,112615096.0,B,1,410
,p1: Em480,B2,22.6,191814192.0,B,2,410
,p1: Em480,B3,22.6,4122022.0,B,3,410
,p1: Em480,B4,22.6,4219602.0,B,4,410
,p1: Em480,B5,22.6,26025.0,B,5,410
,p1: Em480,C1,22.6,3874502.0,C,1,410
,p1: Em480,C2,22.6,4282054.0,C,2,410
,p1: Em480,C3,22.6,3816909.0,C,3,410
,p1: Em480,B1,22.6,109156616.0,B,1,420
,p1: Em480,B2,22.6,69453344.0,B,2,420
,p1: Em480,B3,22.6,3666933.0,B,3,420
,p1: Em480,B4,22.6,3405692.0,B,4,420
,p1: Em480,B5,22.6,24906.0,B,5,420
,p1: Em480,C1,22.6,3366580.0,C,1,420
,p1: Em480,C2,22.6,3720877.0,C,2,420
,p1: Em480,C3,22.6,3280874.0,C,3,420
,p1: Em480,B1,22.6,112319728.0,B,1,430
,p1: Em480,B2,22.6,13441783.0,B,2,430
,p1: Em480,B3,22.6,3377190.0,B,3,430
,p1: Em480,B4,22.6,2807243.0,B,4,430
,p1: Em480,B5,22.6,15425.0,B,5,430
,p1: Em480,C1,22.6,2936217.0,C,1,430
,p1: Em480,C2,22.6,3203157.0,C,2,430
,p1: Em480,C3,22.6,2803494.0,C,3,430
,p2: Ex340,B1,22.7,4141652.0,B,1,380
,p2: Ex340,B2,22.7,1399860.0,B,2,380
,p2: Ex340,B3,22.7,7433180.0,B,3,380
,p2: Ex340,B4,22.7,9678287.0,B,4,380
,p2: Ex340,B5,22.7,91611.0,B,5,380
,p2: Ex340,C1,22.7,7657562.0,C,1,380
,p2: Ex340,C2,22.7,7762536.0,C,2,380
,p2: Ex340,C3,22.7,7603874.0,C,3,380
,p2: Ex340,B1,22.7,4628344.0,B,1,390
,p2: Ex340,B2,22.7,4987914.0,B,2,390
,p2: Ex340,B3,22.7,8689697.0,B,3,390
,p2: Ex340,B4,22.7,11786650.0,B,4,390
,p2: Ex340,B5,22.7,75750.0,B,5,390
,p2: Ex340,C1,22.7,9123092.0,C,1,390
,p2: Ex340,C2,22.7,9183646.0,C,2,390
,p2: Ex340,C3,22.7,9010660.0,C,3,390
,p2: Ex340,B1,22.7,4749646.0,B,1,400
,p2: Ex340,B2,22.7,20069478.0,B,2,400
,p2: Ex340,B3,22.7,8826282.0,B,3,400
,p2: Ex340,B4,22.7,12831275.0,B,4,400
,p2: Ex340,B5,22.7,60052.0,B,5,400
,p2: Ex340,C1,22.7,9488126.0,C,1,400
,p2: Ex340,C2,22.7,9550291.0,C,2,400
,p2: Ex340,C3,22.7,9297924.0,C,3,400
,p2: Ex340,B1,22.7,5211836.0,B,1,410
,p2: Ex340,B2,22.7,50157228.0,B,2,410
,p2: Ex340,B3,22.7,8387914.0,B,3,410
,p2: Ex340,B4,22.7,13151685.0,B,4,410
,p2: Ex340,B5,22.7,45401.0,B,5,410
,p2: Ex340,C1,22.7,9190110.0,C,1,410
,p2: Ex340,C2,22.7,9230058.0,C,2,410
,p2: Ex340,C3,22.7,8917842.0,C,3,410
,p2: Ex340,B1,22.7,6856621.0,B,1,420
,p2: Ex340,B2,22.7,82888224.0,B,2,420
,p2: Ex340,B3,22.7,7853057.0,B,3,420
,p2: Ex340,B4,22.7,13228665.0,B,4,420
,p2: Ex340,B5,22.7,51521.0,B,5,420
,p2: Ex340,C1,22.7,8643952.0,C,1,420
,p2: Ex340,C2,22.7,8702323.0,C,2,420
,p2: Ex340,C3,22.7,8317604.0,C,3,420
,p2: Ex340,B1,22.7,9646499.0,B,1,430
,p2: Ex340,B2,22.7,111417424.0,B,2,430
,p2: Ex340,B3,22.7,7460693.0,B,3,430
,p2: Ex340,B4,22.7,13712895.0,B,4,430
,p2: Ex340,B5,22.7,47025.0,B,5,430
,p2: Ex340,C1,22.7,8190936.0,C,1,430
,p2: Ex340,C2,22.7,8229633.0,C,2,430
,p2: Ex340,C3,22.7,7866244.0,C,3,430
,p2: Ex340,B1,22.7,12159215.0,B,1,440
,p2: Ex340,B2,22.7,133290160.0,B,2,440
,p2: Ex340,B3,22.7,7369040.0,B,3,440
,p2: Ex340,B4,22.7,14709426.0,B,4,440
,p2: Ex340,B5,22.7,50815.0,B,5,440
,p2: Ex340,C1,22.7,8001086.0,C,1,440
,p2: Ex340,C2,22.7,8031578.0,C,2,440
,p2: Ex340,C3,22.7,7612665.0,C,3,440
,p2: Ex340,B1,22.7,13440637.0,B,1,450
,p2: Ex340,B2,22.7,148005664.0,B,2,450
,p2: Ex340,B3,22.7,7421605.0,B,3,450
,p2: Ex340,B4,22.7,15828172.0,B,4,450
,p2: Ex340,B5,22.7,41447.0,B,5,450
,p2: Ex340,C1,22.7,7938594.0,C,1,450
,p2: Ex340,C2,22.7,7966814.0,C,2,450
,p2: Ex340,C3,22.7,7470690.0,C,3,450
,p2: Ex340,B1,22.7,13858933.0,B,1,460
,p2: Ex340,B2,22.7,150636832.0,B,2,460
,p2: Ex340,B3,22.7,7148332.0,B,3,460
,p2: Ex340,B4,22.7,16098133.0,B,4,460
,p2: Ex340,B5,22.7,46855.0,B,5,460
,p2: Ex340,C1,22.7,7675343.0,C,1,460
,p2: Ex340,C2,22.7,7740070.0,C,2,460
,p2: Ex340,C3,22.7,7198258.0,C,3,460
,p2: Ex340,B1,22.7,15553207.0,B,1,470
,p2: Ex340,B2,22.7,142554384.0,B,2,470
,p2: Ex340,B3,22.7,6711648.0,B,3,470
,p2: Ex340,B4,22.7,15277458.0,B,4,470
,p2: Ex340,B5,22.7,41012.0,B,5,470
,p2: Ex340,C1,22.7,7131860.0,C,1,470
,p2: Ex340,C2,22.7,7221352.0,C,2,470
,p2: Ex340,C3,22.7,6738746.0,C,3,470
,p2: Ex340,B1,22.7,29359342.0,B,1,480
,p2: Ex340,B2,22.7,125375768.0,B,2,480
,p2: Ex340,B3,22.7,5928092.0,B,3,480
,p2: Ex340,B4,22.7,13641881.0,B,4,480
,p2: Ex340,B5,22.7,44966.0,B,5,480
,p2: Ex340,C1,22.7,6370506.0,C,1,480
,p2: Ex340,C2,22.7,6530470.0,C,2,480
,p2: Ex340,C3,22.7,6065671.0,C,3,480
,p2: Ex340,B1,22.7,93864864.0,B,1,490
,p2: Ex340,B2,22.7,102440168.0,B,2,490
,p2: Ex340,B3,22.7,5216764.0,B,3,490
,p2: Ex340,B4,22.7,11756450.0,B,4,490
,p2: Ex340,B5,22.7,33920.0,B,5,490
,p2: Ex340,C1,22.7,5683557.0,C,1,490
,p2: Ex340,C2,22.7,5798146.0,C,2,490
,p2: Ex340,C3,22.7,5448068.0,C,3,490
,p2: Ex340,B1,22.7,261705856.0,B,1,500
,p2: Ex340,B2,22.7,78053312.0,B,2,500
,p2: Ex340,B3,22.7,4521962.0,B,3,500
,p2: Ex340,B4,22.7,9672307.0,B,4,500
,p2: Ex340,B5,22.7,29809.0,B,5,500
,p2: Ex340,C1,22.7,4981382.0,C,1,500
,p2: Ex340,C2,22.7,5110216.0,C,2,500
,p2: Ex340,C3,22.7,4772512.0,C,3,500
,p1: Em580,B1,22.8,64578976.0,B,1,350
