arch,pool,depth,seed,label,val_auroc,val_auprc,val_acc,val_f1,test_auroc,test_auprc,test_acc,test_f1,epoch_best,n_train,ckpt
cnn,concatstd,2,0,cnn-concatstd-d2,0.9609269670066902,0.9787221746652017,0.8963333333333333,0.9223858248065885,0.971365643343203,0.9844734592627784,0.9173333333333333,0.9384920634920635,37,14000,trained_models/sweep_class4/cnn-concatstd-d2_s0.pt
cnn,concat,2,0,cnn-concat-d2,0.9601430559759199,0.9779798648929301,0.919,0.9414598891833293,0.966612643499039,0.9795290520698547,0.9253333333333333,0.9457364341085271,40,14000,trained_models/sweep_class4/cnn-concat-d2_s0.pt
cnn,max,2,0,cnn-max-d2,0.9595211186150836,0.9785228346065962,0.903,0.9283427727160798,0.9643363981091891,0.9802238247403157,0.911,0.9340252038547072,49,14000,trained_models/sweep_class4/cnn-max-d2_s0.pt
cnn,max,1,0,cnn-max-d1,0.9531569031672601,0.9742307090243782,0.884,0.9128693039559339,0.9644647031323048,0.9808109870923323,0.8916666666666667,0.9184441656210791,36,14000,trained_models/sweep_class4/cnn-max-d1_s0.pt
cnn,concatstd,1,0,cnn-concatstd-d1,0.948878617866215,0.9703445063095378,0.9023333333333333,0.9296518607442977,0.9549722092358839,0.9728881938827767,0.9056666666666666,0.9319220591772913,40,14000,trained_models/sweep_class4/cnn-concatstd-d1_s0.pt
cnn,concat,1,0,cnn-concat-d1,0.9484897772290978,0.9680285859288846,0.9006666666666666,0.9273879142300194,0.9566204353020622,0.976559681744888,0.9046666666666666,0.9300048947626041,22,14000,trained_models/sweep_class4/cnn-concat-d1_s0.pt
cnn,max,3,0,cnn-max-d3,0.9480427921976452,0.9700419159143419,0.893,0.9209164818920916,0.9535234533270999,0.972139358014136,0.8993333333333333,0.925615763546798,45,14000,trained_models/sweep_class4/cnn-max-d3_s0.pt
cnn,cov,1,0,cnn-cov-d1,0.9473432424532989,0.9694576149068888,0.8906666666666667,0.9192913385826772,0.9578416705625682,0.9753581723116367,0.9,0.9261083743842364,43,14000,trained_models/sweep_class4/cnn-cov-d1_s0.pt
cnn,mean,2,0,cnn-mean-d2,0.9421452893436381,0.9671201371889173,0.8886666666666667,0.9192456479690523,0.9535167004311464,0.9749044572895591,0.8956666666666667,0.9236399121737009,48,14000,trained_models/sweep_class4/cnn-mean-d2_s0.pt
cnn,attn,2,0,cnn-attn-d2,0.9406029054546191,0.9659195640879913,0.895,0.9236363636363637,0.9481491870552179,0.9688384071519827,0.9,0.9267578125,40,14000,trained_models/sweep_class4/cnn-attn-d2_s0.pt
cnn,mean,3,0,cnn-mean-d3,0.9394587068375212,0.964597290112714,0.8853333333333333,0.9164643030597378,0.9491361487714924,0.9683879332157131,0.894,0.9220205983325159,47,14000,trained_models/sweep_class4/cnn-mean-d3_s0.pt
cnn,mean,1,0,cnn-mean-d1,0.9367638179893565,0.9645331732171953,0.8523333333333334,0.8873633358759216,0.9441727702457016,0.9676816742960499,0.8633333333333333,0.8957273652085451,49,14000,trained_models/sweep_class4/cnn-mean-d1_s0.pt
cnn,concatstd,3,0,cnn-concatstd-d3,0.935830911948102,0.9622541066966466,0.8843333333333333,0.9156743620899149,0.9414830398420861,0.9655623160651807,0.8843333333333333,0.9150550795593635,34,14000,trained_models/sweep_class4/cnn-concatstd-d3_s0.pt
cnn,attn,1,0,cnn-attn-d1,0.9273008178112893,0.9551418916265942,0.883,0.9146193140355146,0.942472598826035,0.9624071068429614,0.8933333333333333,0.9221411192214113,37,14000,trained_models/sweep_class4/cnn-attn-d1_s0.pt
cnn,concat,3,0,cnn-concat-d3,0.9191829258986034,0.9518456867225076,0.876,0.911470728224655,0.9178572541686146,0.9511488830501922,0.8776666666666667,0.912221956469744,45,14000,trained_models/sweep_class4/cnn-concat-d3_s0.pt
cnn,attn,3,0,cnn-attn-d3,0.9178533920245618,0.9516855355158498,0.862,0.8987775061124694,0.9275663601890811,0.9552570503602841,0.876,0.909796314258002,46,14000,trained_models/sweep_class4/cnn-attn-d3_s0.pt
mlp,cov,0,0,mlp-cov-d0,0.893205360290182,0.9377489190931592,0.8236666666666667,0.8666498613561885,0.9031016570567763,0.9466097466727308,0.826,0.8676470588235294,48,14000,trained_models/sweep_class4/mlp-cov-d0_s0.pt
mlp,attn,0,0,mlp-attn-d0,0.8576931523035304,0.9148796470731756,0.7866666666666666,0.8366513527309852,0.8702482987896732,0.9268335275470738,0.7916666666666666,0.841168996188056,46,14000,trained_models/sweep_class4/mlp-attn-d0_s0.pt
mlp,mean,0,0,mlp-mean-d0,0.7734154484464285,0.8537939744801534,0.695,0.757872453029902,0.7892870500233754,0.874538245702988,0.7036666666666667,0.7653734494589602,45,14000,trained_models/sweep_class4/mlp-mean-d0_s0.pt
mlp,concat,0,0,mlp-concat-d0,0.7478646211607178,0.8625174095852495,0.688,0.7452367991290147,0.7683499558464495,0.8812197859570762,0.7003333333333334,0.7541700847689363,39,14000,trained_models/sweep_class4/mlp-concat-d0_s0.pt
mlp,max,0,0,mlp-max-d0,0.734235471299252,0.8560819651959786,0.688,0.7477088948787063,0.7495327515453742,0.8710203478470431,0.6966666666666667,0.7527173913043479,40,14000,trained_models/sweep_class4/mlp-max-d0_s0.pt
mlp,concatstd,0,0,mlp-concatstd-d0,0.6912057641860642,0.8407180436065973,0.6273333333333333,0.6805714285714286,0.7060202067425069,0.8554842707329763,0.635,0.6865158889206986,43,14000,trained_models/sweep_class4/mlp-concatstd-d0_s0.pt
cnn,cov,3,0,cnn-cov-d3,0.5125384233213013,0.6822318936532012,0.31033333333333335,0.0,0.5132772323515662,0.6848613794730185,0.31,0.0,0,14000,trained_models/sweep_class4/cnn-cov-d3_s0.pt
cnn,cov,2,0,cnn-cov-d2,0.5,0.6442671008065701,0.31033333333333335,0.0,0.5,0.6540460295497995,0.31,0.0,0,14000,trained_models/sweep_class4/cnn-cov-d2_s0.pt
