cell,target,lam_peaks,lam_bright,lam_edit,err_mean,err_best,err_sd,bright_mean,n_bright,n,n_mut,fam_logp,n_distinct,n_violation
lam-ex4_lam-em4_lam-bright0.5_lam-edit0,EBFP,4.0,0.5,0.0,0.6508333333333333,0.12,0.2948176118253864,-9.887183333333333,0,12,16.75,-2.2916210468578924,12,0
lam-ex4_lam-em4_lam-bright0.5_lam-edit1,EBFP,4.0,0.5,1.0,0.8599999999999999,0.3,0.652171198940334,-8.867933333333331,0,12,9.083333333333334,-2.0034477623607225,12,0
lam-ex4_lam-em4_lam-bright1_lam-edit0,EBFP,4.0,1.0,0.0,0.8666666666666668,0.34,0.3332575671468032,-8.840650000000002,0,12,16.416666666666668,-2.212362066037798,12,0
lam-ex4_lam-em4_lam-bright0.5_lam-edit0.5,EBFP,4.0,0.5,0.5,0.8683333333333332,0.17,0.5767752568979506,-9.753625,0,12,12.5,-2.1010612037224017,12,0
lam-ex4_lam-em4_lam-bright0_lam-edit0,EBFP,4.0,0.0,0.0,0.8975,0.35,0.5205962490697129,-11.332833333333333,0,12,16.333333333333332,-2.155320940580741,12,0
lam-ex4_lam-em4_lam-bright0_lam-edit1,EBFP,4.0,0.0,1.0,0.9466666666666664,0.3,0.6134008526735237,-10.201733333333335,0,12,9.5,-2.0070439999094396,12,0
lam-ex4_lam-em4_lam-bright0_lam-edit0.5,EBFP,4.0,0.0,0.5,0.9900000000000001,0.31,0.728435434213755,-10.295316666666666,0,12,11.666666666666666,-2.125280635594129,12,0
lam-ex4_lam-em4_lam-bright2_lam-edit0,EBFP,4.0,2.0,0.0,1.02,0.06,0.8308702994724595,-7.033333333333332,0,12,15.666666666666666,-2.19155921195857,12,0
lam-ex4_lam-em4_lam-bright0_lam-edit2,EBFP,4.0,0.0,2.0,1.1216666666666668,0.52,0.8081722738639481,-9.018383333333333,0,12,6.416666666666667,-1.9157027164614533,11,0
lam-ex2_lam-em2_lam-bright0.5_lam-edit0.5,EBFP,2.0,0.5,0.5,1.1824999999999999,0.36,0.8171026974510721,-9.837691666666666,0,12,11.0,-1.9672609024707517,12,0
lam-ex4_lam-em4_lam-bright0.5_lam-edit2,EBFP,4.0,0.5,2.0,1.2333333333333332,0.23,1.0742890531402476,-8.649025,0,12,6.5,-1.900518613157959,11,0
lam-ex4_lam-em4_lam-bright1_lam-edit2,EBFP,4.0,1.0,2.0,1.2525000000000002,0.23,1.061492302888207,-7.618441666666667,0,12,6.083333333333333,-1.9392225267653453,12,0
lam-ex4_lam-em4_lam-bright1_lam-edit0.5,EBFP,4.0,1.0,0.5,1.2625000000000002,0.12,1.7012301698797523,-8.188058333333334,0,12,11.25,-2.0425565306786893,12,0
lam-ex4_lam-em4_lam-bright2_lam-edit1,EBFP,4.0,2.0,1.0,1.2791666666666668,0.04,1.7015098019290416,-6.671208333333333,0,12,9.416666666666666,-2.022737956333942,12,0
lam-ex4_lam-em4_lam-bright2_lam-edit2,EBFP,4.0,2.0,2.0,1.284166666666667,0.16,0.9195696457220266,-6.626716666666667,0,12,6.083333333333333,-1.9949324444719185,12,0
lam-ex4_lam-em4_lam-bright4_lam-edit0,EBFP,4.0,4.0,0.0,1.304166666666667,0.15,1.5856771328668928,-5.102766666666667,0,12,15.166666666666666,-2.3172527849660756,12,0
lam-ex2_lam-em2_lam-bright0_lam-edit0.5,EBFP,2.0,0.0,0.5,1.3275,0.23,1.2366238863792163,-10.590241666666667,0,12,11.25,-1.983031630655059,12,0
lam-ex4_lam-em4_lam-bright4_lam-edit1,EBFP,4.0,4.0,1.0,1.3308333333333333,0.12,1.5705960555461005,-4.312208333333333,0,12,10.166666666666666,-2.099592562543409,12,0
lam-ex2_lam-em2_lam-bright0.5_lam-edit0,EBFP,2.0,0.5,0.0,1.3458333333333332,0.07,1.19459737099488,-10.466583333333332,0,12,16.833333333333332,-2.168927651664335,12,0
lam-ex4_lam-em4_lam-bright1_lam-edit1,EBFP,4.0,1.0,1.0,1.45,0.25,1.488024926477437,-8.496866666666667,0,12,9.166666666666666,-1.9822164087025864,12,0
lam-ex4_lam-em4_lam-bright2_lam-edit0.5,EBFP,4.0,2.0,0.5,1.5741666666666667,0.15,2.3805135363970726,-7.112608333333334,0,12,11.833333333333334,-2.057024570545673,12,0
lam-ex2_lam-em2_lam-bright1_lam-edit0.5,EBFP,2.0,1.0,0.5,1.6591666666666667,0.19,1.7034908454717508,-7.200391666666667,0,12,10.083333333333334,-1.8999293598268847,12,0
lam-ex4_lam-em4_lam-bright4_lam-edit0.5,EBFP,4.0,4.0,0.5,1.7283333333333335,0.19,2.7809508947099153,-4.4821333333333335,0,12,12.166666666666666,-2.2175804519144786,12,0
lam-ex2_lam-em2_lam-bright0_lam-edit2,EBFP,2.0,0.0,2.0,2.0083333333333333,0.55,2.2376970033469408,-8.455066666666665,0,12,4.333333333333333,-1.8704731324297086,8,0
lam-ex2_lam-em2_lam-bright0_lam-edit1,EBFP,2.0,0.0,1.0,2.046666666666667,0.23,2.184937416758548,-10.163783333333333,0,12,8.25,-1.8534856481733808,12,0
lam-ex4_lam-em4_lam-bright0_lam-edit4,EBFP,4.0,0.0,4.0,2.4841666666666664,0.23,2.147651818459718,-8.625791666666666,0,12,4.166666666666667,-1.8998555532889885,9,0
lam-ex2_lam-em2_lam-bright0_lam-edit0,EBFP,2.0,0.0,0.0,2.641666666666666,0.2,4.047683587466098,-11.334133333333334,0,12,16.75,-2.0794232452259584,12,0
lam-ex2_lam-em2_lam-bright1_lam-edit0,EBFP,2.0,1.0,0.0,2.8225,0.16,2.634126127303978,-8.606091666666666,0,12,15.75,-2.0865666486231578,12,0
lam-ex2_lam-em2_lam-bright0.5_lam-edit1,EBFP,2.0,0.5,1.0,3.215,0.05,4.182649225724594,-7.663783333333334,0,12,6.833333333333333,-1.923747024073558,12,0
lam-ex4_lam-em4_lam-bright0.5_lam-edit4,EBFP,4.0,0.5,4.0,3.5491666666666664,0.52,2.2160097568431962,-7.926183333333333,0,12,3.6666666666666665,-1.9264418789560798,7,0
lam-ex4_lam-em4_lam-bright1_lam-edit4,EBFP,4.0,1.0,4.0,3.598333333333333,0.86,1.4691916969627352,-7.9197500000000005,0,12,3.3333333333333335,-1.9222409534095626,4,0
lam-ex4_lam-em4_lam-bright4_lam-edit2,EBFP,4.0,4.0,2.0,3.768333333333334,0.1,6.713165942362588,-3.563308333333333,1,12,6.083333333333333,-1.9111853274985604,12,0
lam-ex4_lam-em4_lam-bright2_lam-edit4,EBFP,4.0,2.0,4.0,3.8341666666666665,2.99,0.8251441563677699,-7.407066666666666,0,12,3.1666666666666665,-1.916556144063833,4,0
lam-ex2_lam-em2_lam-bright1_lam-edit1,EBFP,2.0,1.0,1.0,4.245,0.19,5.235604506210772,-6.9037250000000006,0,12,7.416666666666667,-1.9335951786546979,12,0
lam-ex2_lam-em2_lam-bright2_lam-edit0,EBFP,2.0,2.0,0.0,4.718333333333334,0.17,5.931075072459588,-5.511158333333333,0,12,15.416666666666666,-2.150260736322054,12,0
lam-ex2_lam-em2_lam-bright0.5_lam-edit2,EBFP,2.0,0.5,2.0,4.923333333333335,0.59,6.84917424795047,-7.689399999999999,0,12,4.333333333333333,-1.841429517874842,8,0
lam-ex2_lam-em2_lam-bright2_lam-edit0.5,EBFP,2.0,2.0,0.5,7.428333333333334,0.17,8.972383724349383,-5.710516666666667,0,12,11.083333333333334,-1.9847307096902684,12,0
lam-ex1_lam-em1_lam-bright0_lam-edit0.5,EBFP,1.0,0.0,0.5,8.855,0.35,8.887024760340724,-9.749108333333334,0,12,11.5,-1.9343339636887296,12,0
lam-ex1_lam-em1_lam-bright0_lam-edit0,EBFP,1.0,0.0,0.0,10.1825,0.66,9.921880434858926,-11.081325,0,12,17.75,-2.0951890980186842,12,0
lam-ex2_lam-em2_lam-bright2_lam-edit1,EBFP,2.0,2.0,1.0,10.814166666666667,0.18,11.693079117256678,-4.2191,2,12,7.666666666666667,-1.9153362523586643,12,0
lam-ex1_lam-em1_lam-bright0.5_lam-edit0,EBFP,1.0,0.5,0.0,10.8575,1.26,6.3281422306162725,-9.3681,0,12,17.5,-2.0595159211533303,12,0
lam-ex2_lam-em2_lam-bright1_lam-edit2,EBFP,2.0,1.0,2.0,11.741666666666665,0.36,13.157834744041862,-5.605483333333333,0,12,3.8333333333333335,-1.777728910116547,12,0
