arch,pool,depth,label,val_mae,test_mae,epoch_best,n_train,ckpt
transformer,max,1,transformer-max-d1,0.5264293551445007,0.6535392999649048,27,373,trained_models_brightness/sweep/transformer-max-d1_s0.pt
cnn,concat,1,cnn-concat-d1,0.5407487154006958,0.6402822136878967,44,373,trained_models_brightness/sweep/cnn-concat-d1_s0.pt
transformer,concat,1,transformer-concat-d1,0.56332927942276,0.6402469873428345,34,373,trained_models_brightness/sweep/transformer-concat-d1_s0.pt
cnn,max,1,cnn-max-d1,0.5633755922317505,0.6100420355796814,39,373,trained_models_brightness/sweep/cnn-max-d1_s0.pt
cnn,concatstd,1,cnn-concatstd-d1,0.5636861324310303,0.6261829137802124,32,373,trained_models_brightness/sweep/cnn-concatstd-d1_s0.pt
transformer,concat,2,transformer-concat-d2,0.5715644955635071,0.6095355749130249,62,373,trained_models_brightness/sweep/transformer-concat-d2_s0.pt
transformer,concatstd,1,transformer-concatstd-d1,0.5829269289970398,0.618951678276062,40,373,trained_models_brightness/sweep/transformer-concatstd-d1_s0.pt
cnn,concatstd,3,cnn-concatstd-d3,0.584649384021759,0.6899364590644836,92,373,trained_models_brightness/sweep/cnn-concatstd-d3_s0.pt
cnn,concatstd,2,cnn-concatstd-d2,0.5936107635498047,0.6266522407531738,52,373,trained_models_brightness/sweep/cnn-concatstd-d2_s0.pt
cnn,max,2,cnn-max-d2,0.5958819389343262,0.6217387318611145,66,373,trained_models_brightness/sweep/cnn-max-d2_s0.pt
cnn,max,3,cnn-max-d3,0.6102860569953918,0.6494479179382324,32,373,trained_models_brightness/sweep/cnn-max-d3_s0.pt
mlp,concatstd,0,mlp-concatstd-d0,0.6178028583526611,0.6795592904090881,146,373,trained_models_brightness/sweep/mlp-concatstd-d0_s0.pt
cnn,concat,3,cnn-concat-d3,0.6208995580673218,0.6886142492294312,37,373,trained_models_brightness/sweep/cnn-concat-d3_s0.pt
cnn,concat,2,cnn-concat-d2,0.6227467656135559,0.6364911794662476,24,373,trained_models_brightness/sweep/cnn-concat-d2_s0.pt
cnn,attn,3,cnn-attn-d3,0.6301945447921753,0.6796542406082153,45,373,trained_models_brightness/sweep/cnn-attn-d3_s0.pt
mlp,attn,0,mlp-attn-d0,0.631020724773407,0.6922836303710938,110,373,trained_models_brightness/sweep/mlp-attn-d0_s0.pt
transformer,max,2,transformer-max-d2,0.6336244344711304,0.7274236083030701,58,373,trained_models_brightness/sweep/transformer-max-d2_s0.pt
cnn,mean,1,cnn-mean-d1,0.6418004035949707,0.6696769595146179,46,373,trained_models_brightness/sweep/cnn-mean-d1_s0.pt
cnn,mean,3,cnn-mean-d3,0.6424969434738159,0.6736797094345093,63,373,trained_models_brightness/sweep/cnn-mean-d3_s0.pt
cnn,mean,2,cnn-mean-d2,0.6540167927742004,0.6753240823745728,27,373,trained_models_brightness/sweep/cnn-mean-d2_s0.pt
mlp,mean,0,mlp-mean-d0,0.6547123789787292,0.6507523655891418,46,373,trained_models_brightness/sweep/mlp-mean-d0_s0.pt
transformer,mean,2,transformer-mean-d2,0.656143307685852,0.6934518218040466,31,373,trained_models_brightness/sweep/transformer-mean-d2_s0.pt
transformer,mean,1,transformer-mean-d1,0.6677568554878235,0.6882210373878479,37,373,trained_models_brightness/sweep/transformer-mean-d1_s0.pt
cnn,attn,2,cnn-attn-d2,0.6695574522018433,0.6911647319793701,30,373,trained_models_brightness/sweep/cnn-attn-d2_s0.pt
mlp,concat,0,mlp-concat-d0,0.6727803349494934,0.6243084669113159,151,373,trained_models_brightness/sweep/mlp-concat-d0_s0.pt
mlp,max,0,mlp-max-d0,0.6748291254043579,0.660456657409668,96,373,trained_models_brightness/sweep/mlp-max-d0_s0.pt
cnn,attn,1,cnn-attn-d1,0.6782872676849365,0.6416003704071045,37,373,trained_models_brightness/sweep/cnn-attn-d1_s0.pt
transformer,attn,1,transformer-attn-d1,0.6885865330696106,0.7129557728767395,38,373,trained_models_brightness/sweep/transformer-attn-d1_s0.pt
transformer,attn,2,transformer-attn-d2,0.7026939988136292,0.6826223134994507,30,373,trained_models_brightness/sweep/transformer-attn-d2_s0.pt
transformer,max,3,transformer-max-d3,0.881054699420929,0.8344851732254028,15,373,trained_models_brightness/sweep/transformer-max-d3_s0.pt
transformer,mean,3,transformer-mean-d3,0.8884293437004089,0.8490297198295593,12,373,trained_models_brightness/sweep/transformer-mean-d3_s0.pt
transformer,attn,3,transformer-attn-d3,0.8902601003646851,0.8463296890258789,1,373,trained_models_brightness/sweep/transformer-attn-d3_s0.pt
transformer,concatstd,2,transformer-concatstd-d2,0.8934755325317383,0.8589035272598267,1,373,trained_models_brightness/sweep/transformer-concatstd-d2_s0.pt
transformer,concat,3,transformer-concat-d3,0.8979495763778687,0.8513011932373047,13,373,trained_models_brightness/sweep/transformer-concat-d3_s0.pt
transformer,concatstd,3,transformer-concatstd-d3,0.8994604349136353,0.8530083894729614,7,373,trained_models_brightness/sweep/transformer-concatstd-d3_s0.pt
