bin,n_all,n_heldout,dist_lo,dist_hi,bright_pct,acc_heldout,acc_lo,acc_hi,acc_test,acc_train,bal_acc,bright_recall,dim_recall,auroc,majority_acc
0-95,38000,11449,2.9249441623687744,24.351055145263672,72.73997729059306,0.9455847672285789,0.9412782026446964,0.9495924088898242,0.9429618001046572,0.9773266543633008,0.9290402377867878,0.9654178674351584,0.8926626081384171,0.9801373038949991,0.7273997729059306
95-96,400,101,24.351545333862305,25.19527244567871,19.801980198019802,0.9702970297029703,0.9162811615791471,0.9898477032989166,0.9482758620689655,0.9933110367892977,0.9626543209876544,0.95,0.9753086419753086,0.9901234567901235,0.801980198019802
96-97,400,117,25.19635009765625,26.162853240966797,22.22222222222222,0.905982905982906,0.8394630248893353,0.9466900879459796,0.8888888888888888,0.9717314487632509,0.8846153846153846,0.8461538461538461,0.9230769230769231,0.9750633981403212,0.7777777777777778
97-98,400,108,26.163211822509766,27.635295867919922,14.814814814814813,0.9629629629629629,0.9086169931912852,0.9855046931937449,0.9655172413793104,0.9863013698630136,0.9782608695652174,1.0,0.9565217391304348,0.9904891304347826,0.8518518518518519
98-99,400,115,27.636760711669922,30.151243209838867,16.52173913043478,0.9217391304347826,0.8579297392118479,0.9582827655003068,0.9591836734693877,0.9859649122807017,0.7842653508771931,0.5789473684210527,0.9895833333333334,0.9424342105263158,0.8347826086956522
99-100,400,110,30.15868377685547,62.468814849853516,13.636363636363635,0.9636363636363636,0.9102118658040408,0.9857699194133138,0.9791666666666666,0.9793103448275862,0.8947368421052632,0.8,0.9894736842105263,0.9459649122807018,0.8636363636363636
ALL,40000,12000,2.9249441623687744,62.468814849853516,70.19999999999999,0.9455,0.9412939992954155,0.949420853189809,0.9431666666666667,0.9776428571428571,0.9330189551106777,0.9639126305792972,0.9021252796420581,0.9812763641646005,0.702
