target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
EBFP,10.0,40.0,10.0,9,3,12,7,58.19999999999999,37.89999999999998,48.07,29.500564575195312,2.205,True,True,87.5
EBFP,10.0,40.0,10.0,10,1,12,12,30.0,29.899999999999977,29.94,32.83430099487305,-2.269,False,False,87.5
EBFP,10.0,40.0,10.0,10,2,12,10,53.19999999999999,37.60000000000002,45.37,27.57267951965332,-1.1115,True,False,87.5
EBFP,10.0,40.0,10.0,10,3,12,8,48.0,35.19999999999999,41.63,25.965328216552734,3.1775,True,True,87.5
EBFP,10.0,40.0,10.0,11,1,12,10,33.80000000000001,32.60000000000002,33.16,33.89690017700195,-0.3159,False,False,87.5
EBFP,10.0,40.0,10.0,11,2,12,15,34.89999999999998,43.89999999999998,39.39,35.488800048828125,2.8951,False,True,87.5
EBFP,10.0,40.0,10.0,11,3,12,11,31.600000000000023,35.10000000000002,33.38,31.568552017211914,0.2951,False,True,87.5
mOrange,10.0,40.0,10.0,0,1,12,7,62.19999999999999,56.19999999999999,59.2,21.295101165771484,-3.9168,True,False,57.5
mOrange,10.0,40.0,10.0,0,2,12,10,54.89999999999998,50.30000000000001,52.61,30.28814697265625,0.3292,False,True,57.5
mOrange,10.0,40.0,10.0,0,3,12,12,77.19999999999999,59.39999999999998,68.29,34.13101577758789,-1.9466,False,False,57.5
mOrange,10.0,40.0,10.0,1,1,12,9,63.89999999999998,56.80000000000001,60.37,27.693172454833984,-3.3443,True,False,57.5
mOrange,10.0,40.0,10.0,1,2,12,10,58.30000000000001,53.69999999999999,56.02,29.532608032226562,-2.1423,True,False,57.5
mOrange,10.0,40.0,10.0,1,3,12,9,60.39999999999998,55.19999999999999,57.79,25.93253517150879,0.8667,True,True,57.5
mOrange,10.0,40.0,10.0,2,1,12,7,63.69999999999999,58.30000000000001,61.0,22.119028091430664,-2.4922,True,False,57.5
