lam_p,lam_b,lam_e,target,n,trials_avail,n_designs,d_ex,d_em,peak_mean,peak_best,scaf_err,n_mut,ident,n_id,nn_dist,logit,n_bright,n_both
10.0,40.0,10.0,EBFP,12,12,36,41.375,32.574999999999996,36.98,30.41,87.5,9.0,96.23430962343096,8,28.71836280822754,1.919341666666667,11,8
10.0,40.0,10.0,mOrange,12,12,36,55.949999999999996,48.18333333333333,52.06333333333334,38.29,57.5,9.833333333333334,95.88563458856346,7,29.643275419871014,-0.8586166666666667,5,5
10.0,40.0,15.0,EBFP,12,12,35,38.88333333333333,33.833333333333336,36.35416666666667,19.35,87.5,8.25,96.54811715481172,11,27.04920307795207,1.3505500000000001,8,7
10.0,40.0,15.0,mOrange,12,12,36,59.541666666666664,45.625,52.58416666666667,31.86,57.5,7.666666666666667,96.79218967921896,9,27.765723705291748,0.12164999999999994,6,5
10.0,40.0,20.0,EBFP,12,12,36,44.175000000000004,36.32500000000001,40.24583333333334,34.66,87.5,7.083333333333333,97.03626220362622,12,26.060526847839355,1.2731416666666666,8,8
10.0,40.0,20.0,mOrange,12,12,34,61.32500000000001,53.61666666666667,57.46916666666666,52.73,57.5,6.333333333333333,97.35006973500697,12,25.948854287465412,-2.2104166666666667,2,2
10.0,50.0,10.0,EBFP,12,12,36,41.71666666666667,32.96666666666666,37.34916666666666,29.68,87.5,9.166666666666666,96.16457461645747,9,27.91251262029012,2.246091666666667,12,9
10.0,50.0,10.0,mOrange,12,12,36,60.966666666666676,51.76666666666667,56.36166666666667,43.65,57.5,9.333333333333334,96.09483960948396,9,27.30304257074992,1.4776416666666667,8,7
10.0,50.0,15.0,EBFP,12,12,36,39.816666666666656,34.69166666666667,37.251666666666665,29.68,87.5,8.333333333333334,96.51324965132495,11,26.623100121815998,1.8622749999999997,9,9
10.0,50.0,15.0,mOrange,12,12,36,56.99999999999999,41.28333333333333,49.13166666666666,15.57,57.5,8.166666666666666,96.58298465829847,11,27.44608958562215,0.16604166666666664,5,5
10.0,50.0,20.0,EBFP,12,12,35,44.708333333333336,36.300000000000004,40.501666666666665,30.18,87.5,6.833333333333333,97.14086471408648,10,27.321476936340332,1.9568333333333332,10,9
10.0,50.0,20.0,mOrange,12,12,36,58.40000000000001,52.07500000000001,55.2425,43.35,57.5,6.75,97.17573221757321,9,27.634994983673096,-1.910075,2,2
10.0,60.0,10.0,EBFP,12,12,36,39.33333333333332,33.95000000000001,36.64416666666667,31.1,87.5,9.833333333333334,95.88563458856346,10,27.735421657562256,2.803066666666666,11,10
10.0,60.0,10.0,mOrange,12,12,36,60.975,54.68333333333334,57.82999999999999,52.5,57.5,9.083333333333334,96.19944211994421,9,28.44087791442871,0.5057583333333334,6,5
10.0,60.0,15.0,EBFP,12,12,36,44.349999999999994,34.91666666666667,39.63166666666666,32.98,87.5,9.083333333333334,96.19944211994421,11,26.541850566864014,2.4684999999999997,11,10
10.0,60.0,15.0,mOrange,12,12,36,60.87500000000001,52.30833333333334,56.576666666666675,47.2,57.5,8.25,96.54811715481172,10,26.87976821263631,-0.14128333333333334,5,5
10.0,60.0,20.0,EBFP,12,12,35,45.491666666666674,36.80833333333334,41.151666666666664,36.66,87.5,7.5,96.86192468619247,11,26.872825463612873,1.6470500000000001,9,9
10.0,60.0,20.0,mOrange,12,12,35,60.24166666666665,52.24166666666665,56.24166666666667,52.38,57.5,7.25,96.96652719665272,10,27.705607891082764,-1.7743000000000002,2,2
20.0,40.0,10.0,EBFP,12,24,72,27.383333333333336,23.933333333333337,25.66916666666667,0.27,87.5,11.5,95.18828451882845,7,29.83715565999349,-0.44231666666666664,7,5
20.0,40.0,10.0,mOrange,12,24,72,42.11666666666668,34.449999999999996,38.27333333333333,6.21,57.5,11.25,95.2928870292887,4,31.872418244679768,-1.6193,3,3
20.0,40.0,15.0,EBFP,12,12,36,34.99166666666667,28.491666666666664,31.739166666666666,0.92,87.5,9.5,96.02510460251045,10,27.945660909016926,-0.13830833333333337,8,8
20.0,40.0,15.0,mOrange,12,12,35,39.699999999999996,28.60833333333333,34.145833333333336,12.94,57.5,9.0,96.23430962343096,5,30.177964846293133,-1.7287583333333336,3,1
20.0,40.0,20.0,EBFP,12,12,36,34.1,29.008333333333336,31.543333333333333,16.02,87.5,8.083333333333334,96.61785216178521,12,27.38119920094808,0.5665666666666667,8,8
20.0,40.0,20.0,mOrange,12,12,34,45.89166666666666,39.85833333333332,42.87,29.9,57.5,7.833333333333333,96.72245467224548,8,28.84311008453369,-3.129866666666667,1,1
20.0,50.0,10.0,EBFP,12,12,36,33.30833333333334,29.049999999999997,31.183333333333334,20.9,87.5,10.916666666666666,95.43235704323571,6,29.710301876068115,1.600266666666667,9,5
20.0,50.0,10.0,mOrange,12,12,36,45.00833333333333,36.6,40.7975,28.01,57.5,10.75,95.50209205020921,6,30.170620918273926,-0.31228333333333336,6,4
20.0,50.0,15.0,EBFP,12,12,35,33.108333333333334,32.025,32.565000000000005,23.24,87.5,9.25,96.1297071129707,10,28.682854334513348,1.2435583333333333,8,8
20.0,50.0,15.0,mOrange,12,12,35,46.550000000000004,40.008333333333326,43.26916666666667,30.43,57.5,9.25,96.1297071129707,7,31.053819338480633,-2.3943166666666666,2,1
20.0,50.0,20.0,EBFP,12,12,36,38.15,31.84999999999999,34.9975,19.16,87.5,8.25,96.54811715481172,10,27.337937037150066,0.8625833333333334,8,7
20.0,50.0,20.0,mOrange,12,12,35,52.28333333333334,43.49999999999999,47.88833333333333,31.86,57.5,7.833333333333333,96.72245467224548,8,29.811950365702312,-2.098783333333333,3,3
20.0,60.0,10.0,EBFP,12,96,284,37.56666666666668,30.51666666666667,34.04416666666667,28.11,87.5,10.833333333333334,95.46722454672245,7,30.03489096959432,1.7797249999999998,10,6
20.0,60.0,10.0,mOrange,12,96,287,47.18333333333333,41.74999999999999,44.46583333333333,31.62,57.5,11.833333333333334,95.04881450488145,7,30.182890733083088,-0.29719999999999996,7,3
20.0,60.0,15.0,EBFP,12,12,36,36.07500000000001,30.666666666666668,33.36,23.37,87.5,8.75,96.33891213389121,10,28.55652364095052,1.8650250000000002,10,8
20.0,60.0,15.0,mOrange,12,12,36,50.116666666666674,39.86666666666667,44.98166666666666,26.54,57.5,9.333333333333334,96.09483960948396,5,31.71467383702596,-1.6252666666666666,3,3
20.0,60.0,20.0,EBFP,12,12,36,36.458333333333336,30.941666666666666,33.70666666666667,4.81,87.5,8.083333333333334,96.61785216178521,9,28.332133928934734,1.1077333333333332,7,5
20.0,60.0,20.0,mOrange,12,48,139,53.15833333333334,42.608333333333334,47.875,27.57,57.5,7.75,96.75732217573221,8,29.594223976135254,-1.4178916666666668,5,3
30.0,40.0,10.0,EBFP,12,12,36,8.216666666666669,5.566666666666667,6.891666666666667,0.26,87.5,13.75,94.24686192468619,2,33.50803391138712,-4.738808333333333,0,0
30.0,40.0,10.0,mOrange,12,12,35,29.724999999999994,18.858333333333338,24.28333333333333,7.46,57.5,10.916666666666666,95.43235704323571,2,33.96437009175619,-2.9434500000000003,1,0
30.0,40.0,15.0,EBFP,12,12,36,6.400000000000006,4.308333333333347,5.357500000000001,0.27,87.5,11.416666666666666,95.2231520223152,6,31.60593271255493,-4.681374999999999,0,0
30.0,40.0,15.0,mOrange,12,12,36,28.950000000000017,17.933333333333337,23.439999999999998,12.75,57.5,10.25,95.7112970711297,4,31.914003213246662,-1.7066666666666663,0,0
30.0,40.0,20.0,EBFP,12,12,36,12.433333333333328,12.324999999999998,12.374166666666667,0.32,87.5,10.333333333333334,95.67642956764296,5,31.49695110321045,-4.214333333333333,2,1
30.0,40.0,20.0,mOrange,12,12,36,40.11666666666667,28.90833333333335,34.512499999999996,17.54,57.5,8.666666666666666,96.37377963737796,5,31.074796358744305,-2.9674583333333335,2,2
30.0,50.0,10.0,EBFP,12,12,36,12.383333333333326,10.65833333333334,11.528333333333334,0.5,87.5,13.083333333333334,94.5258019525802,2,32.887911319732666,-3.366408333333333,2,1
30.0,50.0,10.0,mOrange,12,12,36,35.283333333333324,26.549999999999994,30.916666666666668,9.83,57.5,11.5,95.18828451882845,5,31.387577533721924,-2.8739916666666665,0,0
30.0,50.0,15.0,EBFP,12,12,36,25.158333333333342,20.216666666666672,22.69083333333333,1.2,87.5,11.5,95.18828451882845,5,31.03842767079671,-1.3760916666666665,4,3
30.0,50.0,15.0,mOrange,12,12,36,39.34166666666666,29.683333333333355,34.51916666666667,19.41,57.5,9.166666666666666,96.16457461645747,8,28.997536182403564,-1.9139083333333329,2,2
30.0,50.0,20.0,EBFP,12,12,36,25.075000000000006,22.133333333333336,23.606666666666666,1.95,87.5,9.583333333333334,95.99023709902372,8,29.06493679682414,-0.259375,7,5
30.0,50.0,20.0,mOrange,12,12,36,42.10000000000001,32.15833333333334,37.12833333333334,24.5,57.5,9.0,96.23430962343096,8,30.97613000869751,-2.6628416666666666,2,2
30.0,60.0,10.0,EBFP,12,12,36,30.258333333333336,25.86666666666666,28.059166666666666,2.46,87.5,12.333333333333334,94.83960948396096,6,30.842955430348713,-0.19724999999999993,8,5
30.0,60.0,10.0,mOrange,12,12,35,36.05,27.65833333333333,31.858333333333334,21.03,57.5,11.25,95.2928870292887,6,30.968287626902264,-2.085458333333334,3,2
30.0,60.0,15.0,EBFP,12,12,36,27.408333333333335,26.525000000000002,26.96416666666667,0.23,87.5,10.583333333333334,95.5718270571827,6,29.406894048055012,1.572466666666667,10,6
30.0,60.0,15.0,mOrange,12,12,36,42.74166666666667,33.583333333333336,38.1675,19.41,57.5,9.083333333333334,96.19944211994421,6,31.143973032633465,-1.7896333333333334,3,3
30.0,60.0,20.0,EBFP,12,12,35,32.583333333333336,30.25833333333333,31.424166666666665,28.1,87.5,9.25,96.1297071129707,9,28.52747901280721,0.9964249999999999,8,7
